work,Federal-gov,Local-gov,Self-emp-not-inc,Private,State-gov,Without-pay,Self-emp-inc,fnlwgt,education,edu2,edu3,edu1,marital,occupation,Exec-managerial,Protective-serv,Handlers-cleaners,Transport-moving,Armed-Forces,Other-service,Prof-specialty,Priv-house-serv,Craft-repair,Sales,Machine-op-inspct,Tech-support,Adm-clerical,Farming-fishing,sex,capitalgain,capitalloss,hoursperweek,race,Amer-Indian-Eskimo,Other,Asian-Pac-Islander,White,Black,income
1,0,0,0,1,0,0,0,-1.4827945978790384,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,0.35923178541455864,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,3.5641288703834313,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,1.629110601717526,1,0,0,0,0,1,0
1,0,0,0,1,0,0,0,-0.12493097225674343,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,1.629110601717526,1,0,0,0,1,0,0
1,0,0,0,1,0,0,0,-0.2519035210346376,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,1.629110601717526,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,0.9891906221498128,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,-0.46248796387409263,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.14810594532605936,4.641080521541514,-0.06406115335309721,1,0,0,0,1,0,0
1,0,0,0,1,0,0,0,0.26424992165336303,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,-0.3180369166136907,1,0,0,0,1,0,1
1,0,0,1,0,0,0,0,-1.4811400465806521,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.308486901883301,-0.2230247630798015,0.35923178541455864,1,0,0,0,1,0,0
1,0,0,0,1,0,0,0,0.30128714755689767,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,0.6132075486751521,1,0,0,0,0,1,1
1,0,1,0,0,0,0,0,-1.328759675565468,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,-1.1876283515962098,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,0,1,1
1,0,0,0,1,0,0,0,-0.11197982933489127,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.14810594532605936,-0.2230247630798015,-0.9106470308884089,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,-1.4218995029660126,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,1
1,1,0,0,0,0,0,0,-1.337003905310876,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,0,1,1
1,0,0,0,1,0,0,0,-0.4344746987876195,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,0,1,1
1,0,0,0,1,0,0,0,-1.5147825896478422,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,1.629110601717526,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,0.5191554196754561,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,0.03456206755840062,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,1
1,0,1,0,0,0,0,0,-0.07458126464205389,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.14810594532605936,-0.2230247630798015,-1.7572329084237206,1,0,0,0,0,1,1
1,0,0,0,1,0,0,0,-0.5201024829368696,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.14810594532605936,-0.2230247630798015,-0.3180369166136907,1,0,0,0,1,0,0
1,0,0,0,1,0,0,0,-0.08929155693288009,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,0
1,0,0,0,1,0,0,0,-1.3599584273471104,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,0.04828343263639817,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.14810594532605936,-0.2230247630798015,0.7825247241822145,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,-0.026694366143928002,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5459910074363478,-0.2230247630798015,-0.9106470308884089,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,1.3200533372495526,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,0
1,0,0,0,0,0,0,1,-0.366381354835062,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,0.7825247241822145,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,0.40097861774243215,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.14810594532605936,-0.2230247630798015,-0.9106470308884089,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,2.5720922421836736,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,0.7825247241822145,1,0,0,0,0,1,1
1,0,0,0,1,0,0,0,-0.9332838795890869,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.14810594532605936,-0.2230247630798015,-2.1805258471913764,1,0,0,0,0,1,1
1,0,0,1,0,0,0,0,-1.4627307861572265,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,-0.19325253018149213,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,-0.9106470308884089,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,1.1856257987134118,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-0.14810594532605936,-0.2230247630798015,-2.6038187859590325,1,0,0,0,1,0,1
1,0,0,0,0,1,0,0,1.0957950739096398,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,1,0,0,0,0,1
1,0,0,0,1,0,0,0,0.6242384449540084,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,-1.7572329084237206,1,0,0,0,1,0,0
1,0,0,0,1,0,0,0,0.27275089211748627,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,0,1,0
1,0,0,0,1,0,0,0,0.18630534123455092,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.0658610640292571,-0.2230247630798015,-1.7572329084237206,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,-0.3723814805205897,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,0,1,1
1,0,0,0,1,0,0,0,-1.2627297662781396,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,0,1,1
1,0,0,0,1,0,0,0,-0.06049856077475356,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.14810594532605936,-0.2230247630798015,-2.43450161045197,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,0.11276338869592788,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,1.5109353071564986,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1.8019561896641147,-0.2230247630798015,-0.4873540921207531,1,0,0,0,1,0,0
1,0,0,1,0,0,0,0,-0.8877076475593971,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,0.35923178541455864,1,0,0,1,0,0,0
1,0,0,0,1,0,0,0,1.160446190448313,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,-1.3917942764677866,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,-0.17832353283398267,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,1.5292304605938285,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,-0.4873540921207531,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,0.26308032504588297,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,-2.43450161045197,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,-1.3364143525493821,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,1.129171367342607,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,1.629110601717526,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,-1.1298807077163213,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.14810594532605936,-0.2230247630798015,-1.4185985574095958,1,0,0,1,0,0,1
1,0,0,1,0,0,0,0,-0.7733249029140523,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,0.35923178541455864,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,-1.0306076298131372,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.14810594532605936,-0.2230247630798015,-2.095867259437845,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,-0.15643400933464077,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,1.974827750212708,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.14810594532605936,5.718712344841531,0.6132075486751521,1,0,0,0,1,0,0
1,0,0,0,0,0,0,1,-0.11565977963647482,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.14810594532605936,-0.2230247630798015,-1.3339399696560648,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,-0.25323476920575305,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,-1.4437509908033226,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,3.3222823567881496,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,0.14918253509144458,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,1
1,1,0,0,0,0,0,0,-0.5793049908894772,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,0,1,1
1,0,1,0,0,0,0,0,-0.18266910722112395,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,1.3025759505459078,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,0.27457319766102745,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,-0.3983503287728498,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,1,0,0,1
1,0,0,0,1,0,0,0,-0.14353991990583642,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,0.35923178541455864,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,-0.13501993161069728,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.14810594532605936,3.430589980300397,0.35923178541455864,1,0,0,0,1,0,0
1,0,0,0,1,0,0,0,-1.1965857500047155,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.14810594532605936,-0.2230247630798015,-2.1805258471913764,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,0.4662097781270913,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,-0.11488955748032942,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,0.2100586121734545,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.14810594532605936,-0.2230247630798015,0.9518418996892768,1,0,0,0,1,0,1
1,1,0,0,0,0,0,0,6.893941885132582,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.14810594532605936,-0.2230247630798015,0.27457319766102745,1,0,0,0,1,0,0
1,0,0,0,1,0,0,0,-0.6667299600697332,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,0.27457319766102745,1,0,0,0,1,0,0
1,0,0,1,0,0,0,0,-1.5137175911109497,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,1.629110601717526,1,0,0,0,1,0,0
1,0,0,0,1,0,0,0,-0.30195845226858015,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.24359568630467068,-0.2230247630798015,-2.2651844349449077,1,0,0,1,0,0,1
1,0,0,0,1,0,0,0,1.7942724625474153,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,-0.46674795802166225,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,-0.3886892706167545,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,0.23444898045139193,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.14810594532605936,-0.2230247630798015,-0.4026955043672219,1,0,0,0,0,1,1
1,0,0,0,1,0,0,0,-1.1741542183214193,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,1
1,0,0,1,0,0,0,0,-0.7600504568649293,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,0.7825247241822145,1,0,0,0,1,0,0
1,0,0,0,1,0,0,0,1.482703337013342,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,1.0474232207206076,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,0,1,1
1,0,0,0,1,0,0,0,0.4685870070040833,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,-1.1392850251537014,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,1,0,0,1
1,0,0,0,1,0,0,0,-0.5864652042669769,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,0.04172228093590038,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,-0.32798435401388804,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,0.7825247241822145,1,0,0,1,0,0,1
1,1,0,0,0,0,0,0,-1.4580999443048461,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,1.629110601717526,1,0,0,0,1,0,0
1,0,0,0,1,0,0,0,0.3719764254431303,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,0
1,0,0,0,1,0,0,0,0.2495776650245687,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,0.7825247241822145,1,0,0,0,1,0,0
1,0,0,0,1,0,0,0,-0.45841814803668246,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,0
1,0,0,0,1,0,0,0,-1.5010326978233208,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,-1.4742175560908515,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.14810594532605936,-0.2230247630798015,0.6132075486751521,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,-1.5099615694853026,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.8623707275764038,-0.2230247630798015,-0.7413298553813465,1,0,0,0,1,0,0
1,0,0,0,0,1,0,0,-1.5865844106485072,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,-0.3180369166136907,1,0,0,0,1,0,0
1,0,0,0,1,0,0,0,0.08084195933567995,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.14810594532605936,4.456554524401099,-0.4873540921207531,1,0,0,0,1,0,0
1,0,0,0,1,0,0,0,0.4536294829100499,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,-1.0213459461083767,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,1.629110601717526,1,0,0,0,1,0,0
1,0,0,1,0,0,0,0,-1.469044706054517,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,1.629110601717526,1,0,0,0,1,0,0
1,0,0,0,1,0,0,0,-0.026247447115053512,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,0
1,0,0,0,0,1,0,0,-0.049772504081765874,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.14810594532605936,-0.2230247630798015,-0.23337832886015955,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,-0.9255055867035692,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.14810594532605936,-0.2230247630798015,-0.4873540921207531,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,-0.8610161217285315,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,-0.07119609072121734,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,1.2058176629498703,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,0.19330390304841522,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,-0.4873540921207531,1,0,0,0,0,1,1
1,0,0,0,1,0,0,0,-0.6096194135288786,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,0.7825247241822145,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,-0.13065533939254004,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.14810594532605936,-0.2230247630798015,0.9518418996892768,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,-1.0804818916524286,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,1,0,0,0,0,1
1,0,0,0,0,1,0,0,0.7013367318926114,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,1
1,0,0,1,0,0,0,0,-1.4727722009336404,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.14810594532605936,-0.2230247630798015,-0.4873540921207531,1,0,0,0,1,0,1
1,0,0,1,0,0,0,0,-0.7751220879450582,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.14810594532605936,-0.2230247630798015,-0.06406115335309721,1,0,0,0,1,0,1
1,0,0,0,1,0,0,0,0.17374406384852542,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.14810594532605936,-0.2230247630798015,0.35923178541455864,1,0,0,0,1,0,0
